Year,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
1743,4.269,1.781,Cracow,Poland,50.63N,19.01E
1743,,,Cracow,Poland,50.63N,19.01E
1744,,,Cracow,Poland,50.63N,19.01E
1744,,,Cracow,Poland,50.63N,19.01E
1744,,,Cracow,Poland,50.63N,19.01E
1744,9.463,2.674,Cracow,Poland,50.63N,19.01E
1744,12.226,1.486,Cracow,Poland,50.63N,19.01E
1744,15.071,1.41,Cracow,Poland,50.63N,19.01E
1744,17.406,1.414,Cracow,Poland,50.63N,19.01E
1744,,,Cracow,Poland,50.63N,19.01E
1744,13.493,1.5119999999999998,Cracow,Poland,50.63N,19.01E
1744,7.885,1.669,Cracow,Poland,50.63N,19.01E
1744,3.488,1.481,Cracow,Poland,50.63N,19.01E
1744,-1.7819999999999998,1.851,Cracow,Poland,50.63N,19.01E
1745,-5.251,1.872,Cracow,Poland,50.63N,19.01E
1745,-3.684,1.732,Cracow,Poland,50.63N,19.01E
1745,0.7070000000000001,1.4240000000000002,Cracow,Poland,50.63N,19.01E
1745,6.908,1.3730000000000002,Cracow,Poland,50.63N,19.01E
1745,,,Cracow,Poland,50.63N,19.01E
1745,,,Cracow,Poland,50.63N,19.01E
1745,,,Cracow,Poland,50.63N,19.01E
1745,,,Cracow,Poland,50.63N,19.01E
1745,,,Cracow,Poland,50.63N,19.01E
1745,,,Cracow,Poland,50.63N,19.01E
1745,,,Cracow,Poland,50.63N,19.01E
1745,,,Cracow,Poland,50.63N,19.01E
1746,,,Cracow,Poland,50.63N,19.01E
1746,,,Cracow,Poland,50.63N,19.01E
1746,,,Cracow,Poland,50.63N,19.01E
1746,,,Cracow,Poland,50.63N,19.01E
1746,,,Cracow,Poland,50.63N,19.01E
1746,,,Cracow,Poland,50.63N,19.01E
1746,,,Cracow,Poland,50.63N,19.01E
1746,,,Cracow,Poland,50.63N,19.01E
1746,,,Cracow,Poland,50.63N,19.01E
1746,,,Cracow,Poland,50.63N,19.01E
1746,,,Cracow,Poland,50.63N,19.01E
1746,,,Cracow,Poland,50.63N,19.01E
1747,,,Cracow,Poland,50.63N,19.01E
1747,,,Cracow,Poland,50.63N,19.01E
1747,,,Cracow,Poland,50.63N,19.01E
1747,,,Cracow,Poland,50.63N,19.01E
1747,,,Cracow,Poland,50.63N,19.01E
1747,,,Cracow,Poland,50.63N,19.01E
1747,,,Cracow,Poland,50.63N,19.01E
1747,,,Cracow,Poland,50.63N,19.01E
1747,,,Cracow,Poland,50.63N,19.01E
1747,,,Cracow,Poland,50.63N,19.01E
1747,,,Cracow,Poland,50.63N,19.01E
